Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Mar 15, 2018",50.88,52.23,52.3,50.88,25.63M
"Mar 14, 2018",51.86,52.06,52.17,51.31,24.99M
"Mar 13, 2018",51.78,52.52,53.78,51.39,45.57M
"Mar 12, 2018",51.52,51.86,51.95,50.5,32.04M
"Mar 09, 2018",52.19,51.27,52.3,51.0,32.73M
"Mar 08, 2018",50.74,51.79,52.08,50.47,29.48M
"Mar 07, 2018",51.32,50.18,51.48,50.1,31.80M
"Mar 06, 2018",50.71,50.16,51.33,50.15,39.13M
"Mar 05, 2018",49.75,48.57,49.8,48.04,30.83M
"Mar 02, 2018",48.98,47.2,49.05,46.96,33.31M
"Mar 01, 2018",47.84,49.5,49.72,47.47,36.33M
"Feb 28, 2018",49.29,50.18,50.34,49.28,35.54M
"Feb 27, 2018",49.91,49.37,50.9,49.31,43.62M
"Feb 26, 2018",49.11,48.2,49.13,48.1,26.99M
"Feb 23, 2018",47.73,46.34,47.79,46.3,26.04M
"Feb 22, 2018",45.8,46.14,46.56,45.62,16.95M
"Feb 21, 2018",45.94,46.67,47.06,45.92,27.53M
"Feb 20, 2018",46.32,45.46,46.71,45.39,25.51M
"Feb 16, 2018",45.56,45.81,46.59,45.51,21.48M
"Feb 15, 2018",45.92,45.88,45.99,44.95,23.54M
"Feb 14, 2018",45.38,44.07,45.51,44.04,19.92M
"Feb 13, 2018",44.46,44.59,44.77,44.26,19.52M
"Feb 12, 2018",44.83,44.15,45.16,44.09,28.38M
"Feb 09, 2018",43.95,43.5,44.28,42.04,49.30M
"Feb 08, 2018",42.75,45.28,45.42,42.74,43.15M
"Feb 07, 2018",45.2,44.58,46.3,44.34,37.51M
"Feb 06, 2018",44.91,44.02,44.93,43.03,58.15M
